provider_id,claim_count,total_allowed,total_paid,avg_processing_days,denied_count,denial_rate
5117,364,746598.31,441994.0,23.107142857142858,72,19.8
5110,331,692450.47,409472.17,24.492447129909365,65,19.6
5071,333,659873.76,377902.64,24.645645645645647,65,19.5
5133,339,670332.25,414816.17,24.32448377581121,66,19.5
5148,343,660428.0,398149.52,24.857142857142858,67,19.5
5081,349,687066.96,418459.74,24.306590257879655,68,19.5
5059,315,654880.35,403955.53,25.419047619047618,61,19.4
5067,324,634914.51,394307.96,25.756172839506174,63,19.4
5149,342,672130.5,398091.22000000003,25.359649122807017,66,19.3
5003,326,652535.08,402871.7,24.07668711656442,63,19.3
5098,342,709546.04,415361.19,26.21345029239766,66,19.3
5001,353,732895.9,440720.42,24.24929178470255,68,19.3
5127,307,595322.81,384764.98,25.439739413680783,59,19.2
5094,334,669835.22,413062.92,25.194610778443113,64,19.2
5039,343,631271.4,373181.52,25.107871720116616,66,19.2
5095,324,639464.8,395441.35,25.126543209876544,62,19.1
5139,330,683778.59,418083.45,25.084848484848486,63,19.1
5126,322,654714.75,401316.37,25.316770186335404,61,18.9
5125,334,680842.83,418230.78,24.092814371257486,63,18.9
5144,339,709385.48,421006.32,23.882005899705014,63,18.6
5109,314,621863.92,372836.14,25.729299363057326,58,18.5
5035,335,651222.8,383460.52,24.08955223880597,62,18.5
5078,342,716639.54,438418.46,25.08187134502924,63,18.4
5045,343,695152.15,436476.61,24.973760932944607,63,18.4
5034,337,694652.88,428648.16,25.15727002967359,62,18.4
5079,348,689959.03,429333.84,24.183908045977013,64,18.4
5011,367,717833.11,442019.83,24.337874659400544,67,18.3
5099,323,639512.11,390465.93,24.092879256965944,59,18.3
5118,317,579648.67,355725.03,24.230283911671926,58,18.3
5058,355,722641.02,432303.44,24.214084507042255,65,18.3
5009,317,624710.65,383724.32,24.842271293375394,58,18.3
5047,328,704482.85,420388.13,23.597560975609756,60,18.3
5020,335,654090.57,401143.09,23.67462686567164,61,18.2
5055,302,615711.67,388238.03,24.344370860927153,55,18.2
5131,326,637573.42,388464.22,24.812883435582823,59,18.1
5102,337,682920.34,419359.47,23.1513353115727,61,18.1
5010,350,711595.41,445770.72,24.67142857142857,63,18.0
5068,350,726721.03,469369.93,24.297142857142855,63,18.0
5066,361,748085.09,460924.26,23.894736842105264,65,18.0
5122,317,649489.64,402515.1,23.744479495268138,57,18.0
5004,364,702479.66,417669.31,25.38736263736264,65,17.9
5097,341,682586.16,409075.89,24.513196480938415,61,17.9
5023,380,738864.58,450355.45,24.563157894736843,68,17.9
5123,307,661054.25,402291.41,25.133550488599347,55,17.9
5069,331,651673.63,402490.49,24.537764350453173,59,17.8
5054,304,615563.53,380613.35,24.5,54,17.8
5105,338,636166.71,376484.75,25.01775147928994,60,17.8
5061,339,706179.08,455495.47,24.061946902654867,60,17.7
5074,318,629400.34,395321.24,23.70125786163522,56,17.6
5037,342,693195.71,427780.52,23.783625730994153,60,17.5
5008,338,666261.84,425666.97,23.727810650887573,59,17.5
5049,295,573402.05,354762.56,23.667796610169493,51,17.3
5108,335,646775.99,393450.78,24.429850746268656,58,17.3
5141,319,628670.97,380849.52,25.661442006269592,55,17.2
5121,317,640673.02,395450.96,25.037854889589905,54,17.0
5113,333,608805.12,371104.93,24.294294294294293,56,16.8
5036,315,628958.58,395254.86,22.822222222222223,53,16.8
5063,299,592488.21,369566.69,24.789297658862875,50,16.7
5062,342,678539.35,421712.71,25.339181286549707,57,16.7
5013,330,642196.5,406190.05,23.796969696969697,55,16.7
5119,330,664248.13,426842.24,23.563636363636363,53,16.1
5041,324,629444.19,399604.12,24.73148148148148,52,16.0
5017,294,550091.87,360663.27,23.285714285714285,46,15.6
5026,355,671705.57,428913.78,24.28450704225352,55,15.5
5112,347,705185.34,450622.84,24.481268011527376,53,15.3
